CustomerID,Frequency,Monetary,Recency,Cluster,CustomerSegment,AvgOrderValue,CustomerLifeSpan,PurchaseRate,CLV,LogFrequency,LogRecency
12346.0,11,372.86,164,1,Active Customers,33.89636363636364,165,0.06666666666666667,24.857333333333333,2.4849066497880004,5.10594547390058
12348.0,1,222.16,73,0,At Risk Customers,222.16,74,0.013513513513513514,3.002162162162162,0.6931471805599453,4.304065093204169
12349.0,3,2671.14,42,0,At Risk Customers,890.38,43,0.06976744186046512,186.35860465116278,1.3862943611198906,3.7612001156935624
12351.0,1,300.93,10,0,At Risk Customers,300.93,11,0.09090909090909091,27.35727272727273,0.6931471805599453,2.3978952727983707
12352.0,2,343.8,10,0,At Risk Customers,171.9,11,0.18181818181818182,62.509090909090915,1.0986122886681096,2.3978952727983707
12353.0,1,317.76,43,0,At Risk Customers,317.76,44,0.022727272727272728,7.221818181818182,0.6931471805599453,3.784189633918261
12355.0,1,488.21000000000004,202,1,Active Customers,488.21000000000004,203,0.0049261083743842365,2.4049753694581284,0.6931471805599453,5.313205979041787
12356.0,3,3560.3,15,0,At Risk Customers,1186.7666666666667,16,0.1875,667.5562500000001,1.3862943611198906,2.772588722239781
12358.0,3,2719.01,10,0,At Risk Customers,906.3366666666667,11,0.2727272727272727,741.5481818181818,1.3862943611198906,2.3978952727983707
12359.0,6,2563.36,60,0,At Risk Customers,427.2266666666667,61,0.09836065573770492,252.1337704918033,1.9459101490553132,4.110873864173311
12360.0,5,1590.83,14,0,At Risk Customers,318.166,15,0.3333333333333333,530.2766666666666,1.791759469228055,2.70805020110221
12361.0,3,321.35,97,0,At Risk Customers,107.11666666666667,98,0.030612244897959183,9.837244897959184,1.3862943611198906,4.584967478670572
12362.0,1,130.0,373,1,Active Customers,130.0,374,0.00267379679144385,0.34759358288770054,0.6931471805599453,5.924255797414532
12366.0,1,500.24,268,1,Active Customers,500.24,269,0.0037174721189591076,1.859628252788104,0.6931471805599453,5.594711379601839
12368.0,1,917.6999999999999,263,1,Active Customers,917.6999999999999,264,0.003787878787878788,3.4761363636363636,0.6931471805599453,5.575949103146316
12369.0,3,1791.15,48,0,At Risk Customers,597.0500000000001,49,0.061224489795918366,109.66224489795918,1.3862943611198906,3.8918202981106265
12370.0,3,774.62,259,1,Active Customers,258.20666666666665,260,0.011538461538461539,8.937923076923076,1.3862943611198906,5.560681631015528
12371.0,3,2179.42,44,0,At Risk Customers,726.4733333333334,45,0.06666666666666667,145.29466666666667,1.3862943611198906,3.8066624897703196
12373.0,2,763.0500000000001,259,1,Active Customers,381.52500000000003,260,0.007692307692307693,5.869615384615385,1.0986122886681096,5.560681631015528
12374.0,3,2246.29,56,0,At Risk Customers,748.7633333333333,57,0.05263157894736842,118.2257894736842,1.3862943611198906,4.04305126783455
12376.0,2,503.15,24,0,At Risk Customers,251.575,25,0.08,40.252,1.0986122886681096,3.2188758248682006
12377.0,2,1798.2,16,0,At Risk Customers,899.1,17,0.11764705882352941,211.5529411764706,1.0986122886681096,2.833213344056216
12378.0,1,1407.7,197,1,Active Customers,1407.7,198,0.005050505050505051,7.109595959595961,0.6931471805599453,5.288267030694535
12379.0,2,767.98,57,0,At Risk Customers,383.99,58,0.034482758620689655,26.482068965517243,1.0986122886681096,4.060443010546419
12380.0,7,6951.49,100,0,At Risk Customers,993.0699999999999,101,0.06930693069306931,481.7864356435644,2.0794415416798357,4.61512051684126
12385.0,1,1938.4,14,0,At Risk Customers,1938.4,15,0.06666666666666667,129.22666666666666,0.6931471805599453,2.70805020110221
12386.0,1,258.9,1,0,At Risk Customers,258.9,2,0.5,129.45,0.6931471805599453,0.6931471805599453
12387.0,1,143.94,50,0,At Risk Customers,143.94,51,0.0196078431372549,2.8223529411764705,0.6931471805599453,3.9318256327243257
12388.0,2,1120.45,80,0,At Risk Customers,560.225,81,0.024691358024691357,27.665432098765432,1.0986122886681096,4.394449154672439
12389.0,3,1433.33,37,0,At Risk Customers,477.77666666666664,38,0.07894736842105263,113.15763157894736,1.3862943611198906,3.6375861597263857
12391.0,5,2285.18,99,0,At Risk Customers,457.03599999999994,100,0.05,114.259,1.791759469228055,4.605170185988092
12392.0,1,234.75000000000003,226,1,Active Customers,234.75000000000003,227,0.004405286343612335,1.034140969162996,0.6931471805599453,5.424950017481403
12393.0,2,816.85,17,0,At Risk Customers,408.425,18,0.1111111111111111,90.7611111111111,1.0986122886681096,2.8903717578961645
12396.0,1,931.43,309,1,Active Customers,931.43,310,0.0032258064516129032,3.0046129032258064,0.6931471805599453,5.736572297479192
12399.0,3,853.65,20,0,At Risk Customers,284.55,21,0.14285714285714285,121.95,1.3862943611198906,3.044522437723423
12400.0,1,205.25,49,0,At Risk Customers,205.25,50,0.02,4.105,0.6931471805599453,3.912023005428146
12402.0,5,1031.3,27,0,At Risk Customers,206.26,28,0.17857142857142858,184.16071428571428,1.791759469228055,3.332204510175204
12403.0,1,591.6600000000001,156,1,Active Customers,591.6600000000001,157,0.006369426751592357,3.7685350318471347,0.6931471805599453,5.056245805348308
12404.0,1,63.24,317,1,Active Customers,63.24,318,0.0031446540880503146,0.1988679245283019,0.6931471805599453,5.762051382780177
12406.0,3,2975.06,34,0,At Risk Customers,991.6866666666666,35,0.08571428571428572,255.00514285714286,1.3862943611198906,3.5553480614894135
12408.0,3,1452.22,20,0,At Risk Customers,484.0733333333333,21,0.14285714285714285,207.45999999999998,1.3862943611198906,3.044522437723423
12410.0,1,320.38,137,0,At Risk Customers,320.38,138,0.007246376811594203,2.3215942028985506,0.6931471805599453,4.927253685157205
12411.0,1,346.9,44,0,At Risk Customers,346.9,45,0.022222222222222223,7.708888888888889,0.6931471805599453,3.8066624897703196
12412.0,3,1370.05,37,0,At Risk Customers,456.68333333333334,38,0.07894736842105263,108.16184210526315,1.3862943611198906,3.6375861597263857
12413.0,1,241.35,37,0,At Risk Customers,241.35,38,0.02631578947368421,6.351315789473683,0.6931471805599453,3.6375861597263857
12414.0,3,390.0,98,0,At Risk Customers,130.0,99,0.030303030303030304,11.818181818181818,1.3862943611198906,4.59511985013459
12416.0,1,202.56,291,1,Active Customers,202.56,292,0.003424657534246575,0.6936986301369863,0.6931471805599453,5.676753802268282
12417.0,11,3148.31,45,0,At Risk Customers,286.21,46,0.2391304347826087,752.8567391304348,2.4849066497880004,3.828641396489095
12418.0,3,1352.62,48,0,At Risk Customers,450.8733333333333,49,0.061224489795918366,82.81346938775509,1.3862943611198906,3.8918202981106265
12419.0,2,503.01,20,0,At Risk Customers,251.505,21,0.09523809523809523,47.90571428571428,1.0986122886681096,3.044522437723423
12421.0,2,291.56,50,0,At Risk Customers,145.78,51,0.0392156862745098,11.433725490196078,1.0986122886681096,3.9318256327243257
12423.0,2,763.08,22,0,At Risk Customers,381.54,23,0.08695652173913043,66.35478260869566,1.0986122886681096,3.1354942159291497
12424.0,2,1579.07,57,0,At Risk Customers,789.535,58,0.034482758620689655,54.45068965517241,1.0986122886681096,4.060443010546419
12425.0,1,964.21,83,0,At Risk Customers,964.21,84,0.011904761904761904,11.478690476190476,0.6931471805599453,4.430816798843313
12426.0,1,762.48,297,1,Active Customers,762.48,298,0.003355704697986577,2.5586577181208052,0.6931471805599453,5.697093486505405
12427.0,1,303.5,6,0,At Risk Customers,303.5,7,0.14285714285714285,43.357142857142854,0.6931471805599453,1.9459101490553132
12434.0,1,297.29,16,0,At Risk Customers,297.29,17,0.058823529411764705,17.48764705882353,0.6931471805599453,2.833213344056216
12435.0,4,6096.04,31,0,At Risk Customers,1524.01,32,0.125,762.005,1.6094379124341003,3.4657359027997265
12439.0,2,1142.88,317,1,Active Customers,571.44,318,0.006289308176100629,7.187924528301888,1.0986122886681096,5.762051382780177
12440.0,2,859.2,97,0,At Risk Customers,429.6,98,0.02040816326530612,17.53469387755102,1.0986122886681096,4.584967478670572
12441.0,1,173.55,1,0,At Risk Customers,173.55,2,0.5,86.775,0.6931471805599453,0.6931471805599453
12443.0,1,485.31,367,1,Active Customers,485.31,368,0.002717391304347826,1.3187771739130434,0.6931471805599453,5.908082938168931
12445.0,1,301.58000000000004,55,0,At Risk Customers,301.58000000000004,56,0.017857142857142856,5.385357142857143,0.6931471805599453,4.02535169073515
12449.0,2,768.6,45,0,At Risk Customers,384.3,46,0.043478260869565216,33.417391304347824,1.0986122886681096,3.828641396489095
12450.0,3,490.32,34,0,At Risk Customers,163.44,35,0.08571428571428572,42.02742857142857,1.3862943611198906,3.5553480614894135
12451.0,3,3634.36,98,0,At Risk Customers,1211.4533333333334,99,0.030303030303030304,110.13212121212122,1.3862943611198906,4.59511985013459
12455.0,4,3413.09,80,0,At Risk Customers,853.2725,81,0.04938271604938271,168.54765432098765,1.6094379124341003,4.394449154672439
12457.0,1,632.68,70,0,At Risk Customers,632.68,71,0.014084507042253521,8.910985915492958,0.6931471805599453,4.2626798770413155
12458.0,2,830.09,62,0,At Risk Customers,415.045,63,0.031746031746031744,26.352063492063493,1.0986122886681096,4.143134726391533
12459.0,1,454.36,240,1,Active Customers,454.36,241,0.004149377593360996,1.885311203319502,0.6931471805599453,5.484796933490655
12460.0,1,326.65,91,0,At Risk Customers,326.65,92,0.010869565217391304,3.5505434782608694,0.6931471805599453,4.5217885770490405
12466.0,1,56.73,317,1,Active Customers,56.73,318,0.0031446540880503146,0.17839622641509434,0.6931471805599453,5.762051382780177
12467.0,1,132.8,58,0,At Risk Customers,132.8,59,0.01694915254237288,2.2508474576271187,0.6931471805599453,4.07753744390572
12468.0,3,2941.2,161,1,Active Customers,980.4,162,0.018518518518518517,54.46666666666666,1.3862943611198906,5.087596335232384
12469.0,2,3070.54,157,1,Active Customers,1535.27,158,0.012658227848101266,38.86759493670886,1.0986122886681096,5.062595033026967
12470.0,1,211.95,324,1,Active Customers,211.95,325,0.003076923076923077,0.6521538461538461,0.6931471805599453,5.783825182329737
12475.0,1,426.26,44,0,At Risk Customers,426.26,45,0.022222222222222223,9.472444444444445,0.6931471805599453,3.8066624897703196
12477.0,3,7056.63,34,0,At Risk Customers,2352.21,35,0.08571428571428572,604.854,1.3862943611198906,3.5553480614894135
12480.0,3,2183.2200000000003,34,0,At Risk Customers,727.7400000000001,35,0.08571428571428572,187.13314285714287,1.3862943611198906,3.5553480614894135
12484.0,6,1826.78,118,0,At Risk Customers,304.4633333333333,119,0.05042016806722689,92.10655462184873,1.9459101490553132,4.77912349311153
12485.0,1,708.1,164,1,Active Customers,708.1,165,0.006060606060606061,4.291515151515152,0.6931471805599453,5.10594547390058
12486.0,1,1037.28,66,0,At Risk Customers,1037.28,67,0.014925373134328358,15.481791044776118,0.6931471805599453,4.204692619390966
12487.0,1,285.29999999999995,365,1,Active Customers,285.29999999999995,366,0.00273224043715847,0.7795081967213113,0.6931471805599453,5.902633333401366
12492.0,1,452.0,38,0,At Risk Customers,452.0,39,0.02564102564102564,11.58974358974359,0.6931471805599453,3.6635616461296463
12495.0,1,357.4,275,1,Active Customers,357.4,276,0.0036231884057971015,1.294927536231884,0.6931471805599453,5.62040086571715
12496.0,2,45.34,255,1,Active Customers,22.67,256,0.0078125,0.35421875,1.0986122886681096,5.545177444479562
12497.0,2,5205.400000000001,35,0,At Risk Customers,2602.7000000000003,36,0.05555555555555555,289.1888888888889,1.0986122886681096,3.58351893845611
